,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],
,172,  57 ,  9 ,  0.0005 ,  0.0125 ,  0.0250 ,  25 ,  50 ,  0.34 ,  30.00 ,  30.00 ,  210.00 ,
,173,  43 ,  6 ,  0.0004 ,  0.0112 ,  0.0224 ,  25 ,  50 ,  0.34 ,  40.50 ,  40.50 ,  225.00 ,
,174,  35 ,  8 ,  0.0005 ,  0.0137 ,  0.0275 ,  25 ,  50 ,  0.47 ,  41.00 ,  41.00 ,  230.00 ,
,175,  55 ,  5 ,  0.0005 ,  0.0137 ,  0.0275 ,  25 ,  50 ,  0.47 ,  41.00 ,  41.00 ,  230.00 ,
,176,"  4,641 ",  722 ,  0.0001 ,  0.0064 ,  0.0508 ,  50 ,  400 ,  0.06 ,  20.00 ,  65.00 ,  160.00 ,
,177,  359 ,  122 ,  0.0019 ,  -   ,  0.1132 ,  -   ,  60 ,  0.31 ,  105.00 ,  130.00 ,  115.00 ,
,5164,  394 ,  -   ,  0.0016 , #VALUE!,  0.0941 , -,  60 ,  0.31 ,  105.00 ,  130.00 ,  115.00 ,
,178,"  1,187 ",  166 ,  0.0003 ,  -   ,  0.0149 ,  -   ,  50 ,  0.23 ,  55.00 ,  55.00 ,  85.00 ,
,179,"  1,186 ",  169 ,  0.0003 ,  0.0156 ,  0.0312 ,  50 ,  100 ,  0.17 ,  22.50 ,  22.50 ,  485.00 ,
,180,  841 ,  130 ,  0.0004 ,  0.0093 ,  0.0186 ,  25 ,  50 ,  0.26 ,  22.00 ,  22.00 ,  485.00 ,
,181,  399 ,  66 ,  0.0004 ,  0.0093 ,  0.0186 ,  25 ,  50 ,  0.29 ,  22.22 ,  22.22 ,  485.00 ,
,182,  211 ,  36 ,  0.0004 ,  0.0091 ,  0.0182 ,  25 ,  50 ,  0.35 ,  22.50 ,  22.50 ,  485.00 ,
,183,  173 ,  49 ,  0.0006 ,  0.0158 ,  0.0317 ,  25 ,  50 ,  -   ,  -   ,  -   ,  -   ,
,184,  295 ,  47 ,  0.0006 ,  0.0150 ,  0.0300 ,  25 ,  50 ,  0.50 ,  31.30 ,  31.30 ,  485.00 ,
,185,  139 ,  20 ,  0.0006 ,  -   ,  0.0159 ,  -   ,  25 ,  0.59 ,  31.50 ,  31.50 ,  485.00 ,
,186,  45 ,  7 ,  0.0011 ,  -   ,  0.0263 ,  -   ,  25 ,  0.94 ,  41.90 ,  41.90 ,  485.00 ,
,187,  34 ,  4 ,  0.0011 ,  0.0106 ,  0.0212 ,  10 ,  20 ,  1.10 ,  41.38 ,  41.38 ,  485.00 ,
,188,  36 ,  6 ,  0.0013 ,  -   ,  0.0134 ,  -   ,  10 ,  1.27 ,  41.50 ,  41.50 ,  500.00 ,
,189,"  1,345 ",  218 ,  0.0006 ,  0.0038 ,  0.0305 ,  6 ,  48 ,  0.49 ,  24.00 ,  90.00 ,  290.00 ,
,190,  230 ,  26 ,  0.0049 ,  -   ,  0.0195 ,  -   ,  4 ,  1.43 ,  45.00 ,  275.00 ,  200.00 ,
,191,  86 ,  20 ,  0.0002 ,  -   ,  0.0230 ,  -   ,  100 ,  0.07 ,  13.50 ,  100.00 ,  150.00 ,
,192,"  7,305 ","  1,242 ",  0.0001 ,  -   ,  0.0128 ,  -   ,  100 ,  0.23 ,  13.00 ,  50.00 ,  330.00 ,
,193,"  6,527 ",  891 ,  0.0001 ,  -   ,  0.0128 ,  -   ,  100 ,  0.22 ,  13.00 ,  45.00 ,  330.00 ,
,194,  385 ,  63 ,  0.0004 ,  0.0084 ,  0.0418 ,  20 ,  100 ,  0.09 ,  35.45 ,  75.00 ,  115.00 ,
,195,"  2,234 ",  348 ,  0.0003 ,  0.0034 ,  0.0340 ,  12 ,  120 ,  0.11 ,  23.00 ,  45.00 ,  180.00 ,
,196,  332 ,  67 ,  0.0005 ,  -   ,  0.0325 ,  -   ,  60 ,  0.24 ,  32.30 ,  110.00 ,  130.00 ,
,197,  568 ,  94 ,  0.0008 ,  -   ,  0.0495 ,  -   ,  60 ,  0.31 ,  31.50 ,  135.00 ,  165.00 ,
,198,"  1,575 ",  271 ,  0.0015 ,  -   ,  0.0594 ,  -   ,  40 ,  0.62 ,  45.00 ,  160.00 ,  190.00 ,
,199,  885 ,  159 ,  0.0021 ,  -   ,  0.0421 ,  -   ,  20 ,  0.82 ,  43.63 ,  185.00 ,  212.00 ,
,200,  485 ,  85 ,  0.0024 ,  -   ,  0.0481 ,  -   ,  20 ,  1.03 ,  40.00 ,  210.00 ,  240.00 ,
,201,"  3,821 ",  666 ,  0.0004 ,  -   ,  0.0353 ,  -   ,  80 ,  -   ,  -   ,  -   ,  -   ,
,202,"  4,155 ",  540 ,  0.0011 ,  -   ,  0.0440 ,  -   ,  40 ,  0.38 ,  80.00 ,  100.00 ,  105.00 ,
,203,"  2,384 ",  398 ,  0.0008 ,  -   ,  0.0396 ,  -   ,  50 ,  0.24 ,  45.00 ,  115.00 ,  135.00 ,
,204,  234 ,  24 ,  0.0011 ,  -   ,  0.0328 ,  -   ,  30 ,  -   ,  -   ,  -   ,  -   ,
,205,"  1,117 ",  185 ,  0.0004 ,  0.0044 ,  0.0437 ,  10 ,  100 ,  0.16 ,  23.28 ,  80.00 ,  235.00 ,
,206,"  1,826 ",  305 ,  0.0004 ,  0.0044 ,  0.0437 ,  10 ,  100 ,  0.16 ,  12.00 ,  80.00 ,  240.00 ,
,207,  986 ,  170 ,  0.0004 ,  0.0044 ,  0.0437 ,  10 ,  100 ,  0.15 ,  23.00 ,  80.00 ,  240.00 ,
,208,"  1,819 ",  293 ,  0.0004 ,  0.0044 ,  0.0437 ,  10 ,  100 ,  0.15 ,  17.00 ,  80.00 ,  235.00 ,
,209,  385 ,  67 ,  0.0009 ,  0.0047 ,  0.0376 ,  5 ,  40 ,  0.30 ,  28.00 ,  110.00 ,  200.00 ,
,210,"  4,369 ",  798 ,  0.0011 ,  0.0111 ,  0.0445 ,  10 ,  40 ,  0.39 ,  23.20 ,  420.00 ,  175.00 ,
,211,"  5,611 ",  791 ,  0.0009 ,  0.0184 ,  0.0368 ,  20 ,  40 ,  0.17 ,  30.00 ,  90.00 ,  365.00 ,
,212,"  3,006 ",  558 ,  0.0014 ,  0.0141 ,  0.0565 ,  10 ,  40 ,  0.36 ,  27.16 ,  140.00 ,  555.00 ,
,213,"  2,462 ",  454 ,  0.0015 ,  0.0154 ,  0.0615 ,  10 ,  40 ,  -   ,  -   ,  -   ,  -   ,
,214,"  1,353 ",  208 ,  0.0017 ,  0.0166 ,  0.0664 ,  10 ,  40 ,  0.44 ,  29.00 ,  140.00 ,  660.00 ,
,215,  419 ,  191 ,  0.0008 ,  -   ,  0.0335 ,  -   ,  40 ,  0.60 ,  72.00 ,  95.00 ,  92.00 ,
,5165,  910 ,  -   ,  0.0006 , #VALUE!,  0.0252 , -,  40 ,  0.60 ,  72.00 ,  95.00 ,  92.00 ,
,216,  285 ,  51 ,  0.0020 ,  -   ,  0.0605 ,  -   ,  30 ,  0.69 ,  30.00 ,  126.00 ,  425.00 ,
,217,"  3,113 ",  537 ,  0.0001 ,  0.0068 ,  0.0136 ,  100 ,  200 ,  0.09 ,  10.20 ,  40.00 ,  280.00 ,
,218,"  1,118 ",  185 ,  0.0001 ,  0.0093 ,  0.0186 ,  100 ,  200 ,  0.14 ,  10.18 ,  40.00 ,  375.00 ,
,219,  876 ,  144 ,  0.0001 ,  0.0051 ,  0.0102 ,  50 ,  100 ,  0.13 ,  10.50 ,  40.00 ,  280.00 ,
,220,"  1,212 ",  166 ,  0.0001 ,  0.0056 ,  0.0111 ,  75 ,  150 ,  0.18 ,  13.35 ,  40.00 ,  330.00 ,
,221,  444 ,  85 ,  0.0002 ,  0.0088 ,  0.0175 ,  50 ,  100 ,  0.22 ,  15.50 ,  40.00 ,  320.00 ,
,222,  350 ,  56 ,  0.0003 ,  -   ,  0.0141 ,  -   ,  50 ,  0.46 ,  16.50 ,  40.00 ,  530.00 ,
,223,  310 ,  52 ,  0.0002 ,  -   ,  0.0101 ,  -   ,  50 ,  0.32 ,  18.50 ,  40.00 ,  330.00 ,
,224,"  2,278 ",  452 ,  0.0005 ,  0.0055 ,  0.0551 ,  12 ,  120 ,  0.09 ,  41.00 ,  90.00 ,  60.00 ,
,225,"  3,247 ",  503 ,  0.0003 ,  0.0035 ,  0.0350 ,  12 ,  120 ,  0.03 ,  22.00 ,  80.00 ,  130.00 ,
,226,"  3,969 ",  581 ,  0.0003 ,  0.0035 ,  0.0350 ,  12 ,  120 ,  0.05 ,  22.50 ,  80.00 ,  130.00 ,
,227,"  6,633 ",  812 ,  0.0003 ,  0.0039 ,  0.0395 ,  12 ,  120 ,  -   ,  -   ,  -   ,  -   ,
,228,"  4,896 ",  674 ,  0.0008 ,  -   ,  0.0396 ,  -   ,  50 ,  0.18 ,  45.00 ,  110.00 ,  135.00 ,
,229,"  1,481 ",  227 ,  0.0007 ,  0.0082 ,  0.0823 ,  12 ,  120 ,  0.15 ,  26.50 ,  130.00 ,  165.00 ,
,230,"  1,820 ",  311 ,  0.0001 ,  0.0010 ,  0.0102 ,  10 ,  100 ,  0.17 ,  24.80 ,  24.80 ,  76.20 ,
,231,"  1,801 ",  220 ,  0.0001 ,  -   ,  0.0058 ,  -   ,  50 ,  0.20 ,  35.00 ,  35.00 ,  80.00 ,
,232,  875 ,  132 ,  0.0001 ,  -   ,  0.0067 ,  -   ,  50 ,  0.24 ,  35.50 ,  35.00 ,  80.00 ,
,233,  395 ,  42 ,  0.0001 ,  -   ,  0.0063 ,  -   ,  50 ,  0.28 ,  34.22 ,  35.15 ,  80.57 ,
,234,"  2,177 ",  339 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.05 ,  21.90 ,  21.90 ,  38.30 ,
,235,"  2,431 ",  331 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.05 ,  21.95 ,  21.95 ,  37.90 ,
,236,"  4,578 ",  682 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.05 ,  21.90 ,  21.90 ,  38.35 ,
,237,"  2,058 ",  312 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.05 ,  22.00 ,  22.00 ,  38.32 ,
,238,"  2,535 ",  416 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.05 ,  21.91 ,  21.91 ,  38.00 ,
,239,"  3,259 ",  560 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.05 ,  22.00 ,  22.00 ,  38.16 ,
,240,"  2,855 ",  507 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.06 ,  22.03 ,  22.03 ,  38.07 ,
,241,"  2,105 ",  376 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.05 ,  22.06 ,  22.06 ,  38.10 ,
,242,"  1,925 ",  317 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.45 ,  22.01 ,  22.01 ,  38.05 ,
,243,"  2,823 ",  484 ,  0.0001 ,  0.0010 ,  0.0102 ,  20 ,  200 ,  0.06 ,  24.00 ,  24.00 ,  38.20 ,
,244,"  2,362 ",  374 ,  0.0001 ,  0.0010 ,  0.0102 ,  20 ,  200 ,  0.07 ,  25.85 ,  25.85 ,  38.10 ,
,245,"  3,893 ",  575 ,  0.0001 ,  0.0010 ,  0.0102 ,  20 ,  200 ,  0.06 ,  95.50 ,  95.50 ,  38.09 ,
,246,"  1,154 ",  150 ,  0.0001 ,  0.0013 ,  0.0065 ,  20 ,  100 ,  0.08 ,  28.04 ,  28.04 ,  38.34 ,
,247,"  2,169 ",  309 ,  0.0001 ,  0.0021 ,  0.0103 ,  20 ,  100 ,  0.07 ,  27.87 ,  27.87 ,  38.15 ,
,248,"  1,245 ",  247 ,  0.0001 ,  0.0018 ,  0.0091 ,  20 ,  100 ,  0.09 ,  29.90 ,  29.90 ,  38.17 ,
,249,  616 ,  96 ,  0.0001 ,  0.0021 ,  0.0103 ,  20 ,  100 ,  0.11 ,  32.00 ,  32.00 ,  38.50 ,
,250,"  2,508 ",  260 ,  0.0001 ,  0.0021 ,  0.0103 ,  20 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,251,  546 ,  87 ,  0.0002 ,  0.0016 ,  0.0155 ,  10 ,  100 ,  0.14 ,  34.50 ,  34.50 ,  42.50 ,
,252,  526 ,  77 ,  0.0002 ,  0.0016 ,  0.0155 ,  10 ,  100 ,  0.13 ,  34.00 ,  34.00 ,  42.50 ,
,253,  991 ,  151 ,  0.0001 ,  0.0013 ,  0.0126 ,  10 ,  100 ,  0.16 ,  35.91 ,  35.91 ,  42.16 ,
,254,  749 ,  109 ,  0.0001 ,  0.0013 ,  0.0126 ,  10 ,  100 ,  0.17 ,  37.84 ,  37.84 ,  41.73 ,
,255,  528 ,  80 ,  0.0002 ,  0.0021 ,  0.0213 ,  10 ,  100 ,  0.18 ,  38.00 ,  38.00 ,  42.50 ,
,256,"  3,685 ",  472 ,  0.0001 ,  0.0013 ,  0.0126 ,  10 ,  100 ,  0.47 ,  40.20 ,  40.20 ,  44.10 ,
,257,"  1,776 ",  251 ,  0.0001 ,  0.0014 ,  0.0143 ,  10 ,  100 ,  0.49 ,  41.84 ,  41.84 ,  44.16 ,
,258,  338 ,  62 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.05 ,  22.50 ,  22.50 ,  38.50 ,
,259,"  1,053 ",  171 ,  0.0001 ,  0.0014 ,  0.0138 ,  20 ,  200 ,  0.05 ,  21.94 ,  21.94 ,  38.34 ,
,260,"  1,005 ",  161 ,  0.0001 ,  0.0014 ,  0.0138 ,  20 ,  200 ,  0.05 ,  21.70 ,  21.70 ,  38.30 ,
,261,  696 ,  144 ,  0.0000 ,  0.0008 ,  0.0084 ,  20 ,  200 ,  0.06 ,  22.00 ,  22.00 ,  38.20 ,
,262,  414 ,  77 ,  0.0001 ,  0.0014 ,  0.0138 ,  20 ,  200 ,  0.05 ,  22.00 ,  22.00 ,  38.50 ,
,263,  333 ,  74 ,  0.0001 ,  0.0010 ,  0.0100 ,  20 ,  200 ,  0.06 ,  24.00 ,  24.00 ,  38.50 ,
,264,  765 ,  110 ,  0.0001 ,  0.0014 ,  0.0138 ,  20 ,  200 ,  0.06 ,  26.00 ,  26.00 ,  38.50 ,
,265,  345 ,  53 ,  0.0001 ,  0.0007 ,  0.0065 ,  10 ,  100 ,  0.07 ,  28.00 ,  28.00 ,  38.50 ,
,266,  358 ,  44 ,  0.0001 ,  0.0011 ,  0.0210 ,  10 ,  200 ,  0.09 ,  29.93 ,  29.93 ,  30.21 ,
,267,  231 ,  39 ,  0.0001 ,  0.0011 ,  0.0105 ,  10 ,  100 ,  0.11 ,  32.00 ,  32.00 ,  38.50 ,
,268,  194 ,  40 ,  0.0001 ,  0.0013 ,  0.0126 ,  10 ,  100 ,  0.14 ,  33.81 ,  33.81 ,  30.32 ,
,269,  154 ,  35 ,  0.0001 ,  0.0013 ,  0.0126 ,  10 ,  100 ,  0.16 ,  37.93 ,  37.93 ,  30.20 ,
,270,  179 ,  33 ,  0.0002 ,  0.0021 ,  0.0213 ,  10 ,  100 ,  0.18 ,  39.96 ,  39.96 ,  30.03 ,
,271,  154 ,  29 ,  0.0002 ,  0.0021 ,  0.0213 ,  10 ,  100 ,  0.23 ,  41.78 ,  41.78 ,  44.47 ,
,272,"  1,919 ",  385 ,  0.0012 ,  0.0072 ,  0.0290 ,  6 ,  24 ,  -   ,  -   ,  -   ,  -   ,
,273,"  1,329 ",  249 ,  0.0013 ,  0.0075 ,  0.0375 ,  6 ,  30 ,  0.72 ,  46.50 ,  50.50 ,  280.00 ,
,274,"  4,761 ",  838 ,  0.0000 ,  0.0080 ,  0.0160 ,  500 ,"  1,000 ",  0.02 ,  9.15 ,  16.30 ,  95.58 ,
,275,"  10,973 ","  1,781 ",  0.0000 ,  0.0080 ,  0.0160 ,  500 ,"  1,000 ",  0.48 ,  23.60 ,  56.08 ,  330.00 ,
,276,"  17,636 ","  2,913 ",  0.0000 ,  0.0080 ,  0.0160 ,  500 ,"  1,000 ",  0.03 ,  10.00 ,  20.75 ,  115.70 ,
,277,"  7,433 ","  1,103 ",  0.0000 ,  0.0081 ,  0.0162 ,  300 ,  600 ,  -   ,  -   ,  -   ,  -   ,
,278,"  30,041 ","  4,652 ",  0.0000 ,  0.0080 ,  0.0160 ,  250 ,  500 ,  0.03 ,  10.60 ,  22.30 ,  120.00 ,
,279,"  18,229 ","  2,973 ",  0.0000 ,  0.0080 ,  0.0160 ,  200 ,  400 ,  0.05 ,  11.45 ,  24.40 ,  140.66 ,
,280,"  10,388 ","  1,679 ",  0.0001 ,  0.0080 ,  0.0159 ,  150 ,  300 ,  0.06 ,  13.60 ,  26.40 ,  155.00 ,
,281,"  24,366 ","  3,694 ",  0.0001 ,  0.0080 ,  0.0160 ,  125 ,  250 ,  0.08 ,  13.46 ,  29.20 ,  165.00 ,
,282,"  12,465 ","  2,050 ",  0.0001 ,  0.0080 ,  0.0160 ,  100 ,  200 ,  0.10 ,  15.42 ,  31.82 ,  180.00 ,
,283,"  10,032 ","  1,659 ",  0.0001 ,  0.0080 ,  0.0160 ,  100 ,  200 ,  0.10 ,  15.55 ,  33.63 ,  190.00 ,
,284,"  10,655 ","  1,336 ",  0.0001 ,  0.0080 ,  0.0160 ,  80 ,  160 ,  0.12 ,  18.60 ,  35.80 ,  205.00 ,
,285,"  10,831 ","  1,847 ",  0.0001 ,  0.0080 ,  0.0161 ,  60 ,  120 ,  0.15 ,  18.15 ,  37.78 ,  217.78 ,
,286,"  6,451 ","  1,104 ",  0.0002 ,  0.0080 ,  0.0160 ,  50 ,  100 ,  0.18 ,  17.74 ,  39.09 ,  230.00 ,
,287,"  2,779 ",  469 ,  0.0002 ,  0.0080 ,  0.0160 ,  40 ,  80 ,  0.22 ,  21.70 ,  44.88 ,  255.00 ,
,288,"  4,990 ",  587 ,  0.0002 ,  0.0080 ,  0.0160 ,  40 ,  80 ,  0.36 ,  19.77 ,  46.44 ,  265.00 ,
,289,"  2,276 ",  373 ,  0.0003 ,  0.0080 ,  0.0160 ,  30 ,  60 ,  0.33 ,  22.27 ,  49.55 ,  290.00 ,
,290,"  1,185 ",  209 ,  0.0004 ,  0.0080 ,  0.0160 ,  20 ,  40 ,  0.45 ,  27.55 ,  56.20 ,  330.00 ,
,291,"  2,351 ",  410 ,  0.0004 ,  0.0080 ,  0.0160 ,  20 ,  40 ,  0.50 ,  27.60 ,  58.85 ,  350.00 ,
,292,"  1,667 ",  280 ,  0.0005 ,  0.0080 ,  0.0160 ,  15 ,  30 ,  0.55 ,  26.00 ,  60.53 ,  355.00 ,
,293,"  1,126 ",  190 ,  0.0005 ,  0.0080 ,  0.0160 ,  15 ,  30 ,  0.67 ,  27.00 ,  64.11 ,  380.00 ,
,294,"  1,682 ",  335 ,  0.0000 ,  0.0080 ,  0.0160 ,  500 ,"  1,000 ",  0.02 ,  8.00 ,  14.22 ,  90.52 ,
,295,"  4,268 ",  704 ,  0.0000 ,  0.0080 ,  0.0160 ,  250 ,  500 ,  0.04 ,  11.70 ,  22.34 ,  125.72 ,
,296,"  3,551 ",  574 ,  0.0000 ,  0.0080 ,  0.0160 ,  200 ,  400 ,  -   ,  -   ,  -   ,  -   ,
,297,"  5,229 ",  936 ,  0.0001 ,  0.0080 ,  0.0160 ,  125 ,  250 ,  0.08 ,  14.02 ,  29.40 ,  165.00 ,
,298,"  4,308 ",  754 ,  0.0001 ,  0.0080 ,  0.0160 ,  100 ,  200 ,  0.09 ,  14.42 ,  31.90 ,  180.00 ,
,299,"  1,444 ",  291 ,  0.0001 ,  0.0080 ,  0.0160 ,  100 ,  200 ,  0.15 ,  17.23 ,  37.96 ,  215.00 ,
,300,  687 ,  160 ,  0.0004 ,  0.0080 ,  0.0160 ,  20 ,  40 ,  0.25 ,  21.00 ,  46.53 ,  265.00 ,
,301,  541 ,  115 ,  0.0004 ,  0.0080 ,  0.0160 ,  20 ,  40 ,  -   ,  -   ,  -   ,  -   ,
,302,"  1,892 ",  349 ,  0.0009 ,  0.0090 ,  0.0900 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,303,"  1,675 ",  294 ,  0.0009 ,  0.0094 ,  0.0935 ,  10 ,  100 ,  0.15 ,  20.00 ,  160.00 ,  200.00 ,
,304,  329 ,  46 ,  0.0000 ,  -   ,  0.0047 ,  -   ,  100 ,  0.08 ,  35.57 ,  35.72 ,  40.66 ,
,305,  450 ,  74 ,  0.0000 ,  -   ,  0.0047 ,  -   ,  100 ,  0.08 ,  29.66 ,  29.70 ,  40.53 ,
,306,  454 ,  61 ,  0.0000 ,  -   ,  0.0047 ,  -   ,  100 ,  0.08 ,  35.67 ,  35.56 ,  40.68 ,
,307,  996 ,  137 ,  0.0001 ,  -   ,  0.0067 ,  -   ,  100 ,  0.10 ,  35.00 ,  35.00 ,  40.00 ,
,308,  643 ,  57 ,  0.0001 ,  -   ,  0.0067 ,  -   ,  100 ,  0.12 ,  35.39 ,  35.77 ,  40.77 ,
,309,  300 ,  41 ,  0.0001 ,  -   ,  0.0068 ,  -   ,  100 ,  0.14 ,  35.80 ,  35.56 ,  40.86 ,
,310,"  3,392 ",  442 ,  0.0003 ,  0.0029 ,  0.0147 ,  10 ,  50 ,  0.36 ,  24.00 ,  43.00 ,  255.00 ,
,311,"  4,478 ",  813 ,  0.0011 ,  0.0136 ,  0.0408 ,  12 ,  36 ,  0.70 ,  24.10 ,  85.00 ,  470.00 ,
,312,"  4,215 ",  782 ,  0.0001 ,  0.0008 ,  0.0084 ,  10 ,  100 ,  0.12 ,  22.62 ,  22.62 ,  76.00 ,
,313,"  5,909 ",  862 ,  0.0001 ,  0.0021 ,  0.0106 ,  20 ,  100 ,  0.20 ,  22.70 ,  22.70 ,  126.00 ,
,314,"  5,057 ",  689 ,  0.0002 ,  0.0021 ,  0.0106 ,  10 ,  50 ,  0.40 ,  23.00 ,  23.00 ,  250.00 ,
,315,  181 ,  30 ,  0.0010 ,  -   ,  0.0241 ,  -   ,  25 ,  739.00 ,  45.00 ,  75.00 ,  225.00 ,
,316,  216 ,  46 ,  0.0016 ,  -   ,  0.0319 ,  -   ,  20 ,  0.81 ,  90.00 ,  205.00 ,  90.00 ,
,317,"  5,494 ",  828 ,  0.0003 ,  0.0080 ,  0.0160 ,  25 ,  50 ,  0.36 ,  22.71 ,  51.53 ,  305.00 ,
,318,"  1,150 ",  207 ,  0.0004 ,  0.0080 ,  0.0160 ,  20 ,  40 ,  0.46 ,  23.77 ,  55.80 ,  330.00 ,
,319,"  7,221 ","  1,041 ",  0.0001 ,  -   ,  0.0153 ,  -   ,  300 ,  0.09 ,  12.00 ,  30.00 ,  165.00 ,
,320,"  4,249 ",  759 ,  0.0001 ,  -   ,  0.0128 ,  -   ,  200 ,  0.09 ,  12.00 ,  30.00 ,  170.00 ,
,321,"  2,990 ",  413 ,  0.0001 ,  -   ,  0.0075 ,  -   ,  100 ,  0.13 ,  13.50 ,  34.00 ,  190.00 ,
,322,"  1,657 ",  386 ,  0.0001 ,  -   ,  0.0064 ,  -   ,  100 ,  -   ,  -   ,  -   ,  -   ,
,323,"  11,911 ","  1,898 ",  0.0001 ,  -   ,  0.0640 ,  -   ,"  1,000 ",  0.03 ,  14.50 ,  25.44 ,  29.70 ,
,324,"  7,680 ","  1,404 ",  0.0000 ,  -   ,  0.0048 ,  -   ,  600 ,  0.05 ,  19.00 ,  31.00 ,  40.00 ,
,325,"  3,790 ",  830 ,  0.0000 ,  -   ,  0.0020 ,  -   ,  500 ,  0.05 ,  17.50 ,  33.00 ,  40.00 ,
,326,"  2,759 ",  370 ,  0.0000 ,  -   ,  0.0111 ,  -   ,  300 ,#N/A,#N/A,#N/A,#N/A,
,327,  891 ,  154 ,  0.0000 ,  -   ,  0.0018 ,  -   ,  300 ,  0.10 ,  22.50 ,  41.00 ,  50.00 ,
,328,"  1,278 ",  280 ,  0.0001 ,  -   ,  0.0160 ,  -   ,  250 ,#N/A,#N/A,#N/A,#N/A,
,329,"  17,329 ","  2,945 ",  0.0004 ,  0.0050 ,  0.0599 ,  12 ,  144 ,  0.09 ,  26.00 ,  85.00 ,  220.00 ,
,330,  712 ,  110 ,  0.0001 ,  -   ,  0.0066 ,  -   ,  100 ,  0.10 ,  35.00 ,  35.00 ,  40.00 ,
,331,  451 ,  80 ,  0.0001 ,  0.0014 ,  0.0138 ,  20 ,  200 ,  0.05 ,  22.00 ,  22.00 ,  38.00 ,
,332,  513 ,  74 ,  0.0000 ,  -   ,  0.0047 ,  -   ,  100 ,  0.07 ,  28.93 ,  29.81 ,  40.98 ,
,333,"  1,517 ",  203 ,  0.0001 ,  -   ,  0.0068 ,  -   ,  50 ,  0.18 ,  35.00 ,  35.00 ,  80.00 ,
,334,  648 ,  65 ,  0.0001 ,  -   ,  0.0107 ,  -   ,  100 ,  0.17 ,  45.40 ,  45.48 ,  46.00 ,
,335,"  1,688 ",  302 ,  0.0000 ,  0.0080 ,  0.0160 ,  500 ,"  1,000 ",  0.02 ,  9.20 ,  18.00 ,  100.45 ,
,336,"  1,266 ",  238 ,  0.0001 ,  0.0080 ,  0.0161 ,  60 ,  120 ,  0.20 ,  19.60 ,  41.90 ,  240.00 ,
,337,"  1,621 ",  309 ,  0.0002 ,  0.0080 ,  0.0160 ,  50 ,  100 ,  12.91 ,  80.00 ,  180.00 ,  545.00 ,
,338,  580 ,  123 ,  0.0002 ,  0.0082 ,  0.0165 ,  40 ,  80 ,  0.29 ,  20.00 ,  48.60 ,  280.00 ,
,339,  906 ,  188 ,  0.0003 ,  0.0082 ,  0.0164 ,  30 ,  60 ,  3.00 ,  32.72 ,  105.00 ,  565.00 ,
,340,"  8,741 ","  1,461 ",  0.0002 ,  0.0080 ,  0.0160 ,  50 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,341,"  4,807 ",  842 ,  0.0003 ,  0.0080 ,  0.0160 ,  30 ,  60 ,  -   ,  -   ,  -   ,  -   ,
,342,"  1,724 ",  268 ,  0.0005 ,  0.0080 ,  0.0160 ,  15 ,  30 ,  660.00 ,  27.78 ,  63.43 ,  380.00 ,
,343,"  1,570 ",  272 ,  0.0008 ,  0.0080 ,  0.0160 ,  10 ,  20 ,  0.81 ,  32.00 ,  67.85 ,  405.00 ,
,344,"  1,310 ",  258 ,  0.0029 ,  -   ,  0.0704 ,  -   ,  24 ,  0.38 ,  70.00 ,  150.00 ,  240.00 ,
,345,  69 ,  10 ,  0.0106 ,  -   ,  0.0212 ,  -   ,  2 ,  4.90 ,  75.00 ,  120.00 ,  240.00 ,
,346,"  2,014 ",  377 ,  0.0005 ,  -   ,  0.0225 ,  -   ,  48 ,  0.39 ,  23.00 ,  45.00 ,  625.00 ,
,347,  321 ,  58 ,  0.0002 ,  0.0016 ,  0.0155 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,348,  264 ,  15 ,  0.0014 ,  -   ,  0.0408 ,  -   ,  30 ,  0.58 ,  34.70 ,  130.00 ,  240.00 ,
,349,  196 ,  -   ,  0.0020 ,  -   ,  0.0020 ,  -   ,  1 ,  1.56 ,  12.52 ,  140.00 ,"  1,110.00 ",
